agv_index,pallet_index,workstation_index,cost
0,49,15,10.00000000
1,14,0,17.00000000
2,92,4,9.00000000
3,127,12,15.00000000
4,21,8,6.00000000
5,63,12,17.00000000
6,113,15,9.00000000
7,129,12,11.00000000
8,118,16,12.00000000
9,74,4,6.00000000
10,38,14,8.00000000
11,46,0,11.00000000
