pallet_index,pallet_id,workstation_index,quantity,primary_station
90,10090,6,28.52560838,5
91,10091,9,10.65531789,9
91,10091,10,9.88484011,9
91,10091,11,7.36386200,9
91,10091,15,10.11197474,9
91,10091,16,8.04836697,9
91,10091,17,7.93561917,9
92,10092,4,6.02198426,7
92,10092,5,4.97985514,7
92,10092,6,4.96375415,7
92,10092,7,10.22001800,7
92,10092,8,9.81435943,7
93,10093,13,3.06392199,14
93,10093,14,42.93606774,14
94,10094,2,11.78792481,14
94,10094,13,1.75199758,14
94,10094,14,12.46003678,14
95,10095,12,23.46714050,12
95,10095,13,2.53283814,12
96,10096,13,2.63700230,14
96,10096,14,35.36298594,14
97,10097,9,8.77243095,9
97,10097,10,8.08731338,9
97,10097,11,6.29642990,9
97,10097,15,8.29557956,9
97,10097,16,6.81502105,9
97,10097,17,6.73320228,9
98,10098,0,27.06182310,0
98,10098,12,23.52630475,0
98,10098,13,2.41185969,0
99,10099,3,19.70921964,3
99,10099,4,5.44918876,3
99,10099,5,4.51767272,3
99,10099,6,4.40748967,3
99,10099,7,8.00847016,3
99,10099,8,7.90793737,3
100,10100,12,47.68821614,12
100,10100,13,3.31177552,12
101,10101,2,86.99999492,2
102,10102,12,29.86711176,12
102,10102,13,3.13287400,12
103,10103,13,1.75417360,14
103,10103,14,36.24579881,14
104,10104,13,2.67284072,14
104,10104,14,24.32714046,14
105,10105,10,8.15954881,15
105,10105,11,6.48166882,15
105,10105,15,8.44838798,15
105,10105,16,7.01066975,15
105,10105,17,6.89970039,15
106,10106,2,52.99999097,2
107,10107,3,16.71609912,3
107,10107,4,5.59229942,3
107,10107,5,4.69157674,3
108,10108,2,29.99995960,2
109,10109,3,16.61373514,3
109,10109,4,5.34185898,3
109,10109,5,4.54079221,3
109,10109,6,4.50358612,3
110,10110,13,2.48659173,14
110,10110,14,30.51339233,14
111,10111,9,24.48413795,9
111,10111,10,20.47686380,9
111,10111,11,12.77683637,9
111,10111,17,14.26215476,9
112,10112,13,3.47855022,14
112,10112,14,59.52144199,14
113,10113,11,12.13211189,15
113,10113,15,25.42654027,15
113,10113,16,14.90625197,15
113,10113,17,13.53508730,15
114,10114,2,48.97059574,14
114,10114,13,1.84527213,14
114,10114,14,73.18412466,14
115,10115,9,39.37695286,9
115,10115,10,28.37696396,9
115,10115,11,16.24607929,9
116,10116,1,60.99977115,1
117,10117,9,11.28920637,15
117,10117,10,10.16098679,15
117,10117,11,7.51293581,15
117,10117,15,11.32085340,15
117,10117,16,8.52366781,15
117,10117,17,8.19233418,15
118,10118,11,19.48406325,16
118,10118,16,27.37253933,16
118,10118,17,23.14339393,16
119,10119,12,29.41663439,12
119,10119,13,2.58334683,12
120,10120,12,113.26876960,12
120,10120,13,4.73122654,12
121,10121,9,7.27299767,9
121,10121,10,5.79152232,9
121,10121,11,5.38636712,9
121,10121,16,5.35237762,9
121,10121,17,5.19670435,9
122,10122,3,32.36752285,3
122,10122,4,6.16781844,3
122,10122,5,5.08363222,3
122,10122,6,4.93585618,3
122,10122,7,9.82918413,3
122,10122,8,9.61596969,3
123,10123,0,34.63071438,0
123,10123,12,29.83278827,0
123,10123,13,2.53648775,0
124,10124,2,56.13948370,14
124,10124,13,2.85029832,14
