scenario,period,pallet_index,pallet_id,pending_quantity_before_round,planned_quantity_this_round,planned_receiver_type,planned_receiver_index,dispatched
task1_only,1,107,10107,,27.00000000,workstation,3,1
task1_only,1,53,10053,,93.00000000,workstation,1,1
task1_only,1,9,10009,,120.00000000,workstation,4,1
task1_only,1,38,10038,,62.00000000,workstation,14,1
task1_only,1,21,10021,,48.00000000,workstation,8,1
task1_only,1,52,10052,,32.00000000,workstation,8,1
task1_only,1,115,10115,,84.00000000,workstation,9,1
task1_only,1,129,10129,,52.00000000,workstation,12,1
task1_only,1,50,10050,,65.00000000,workstation,8,1
task1_only,1,74,10074,,92.00000000,workstation,4,1
task1_only,1,118,10118,,70.00000000,workstation,16,1
task1_only,1,80,10080,,61.00000000,workstation,0,1
task1_only,1,70,10070,,120.00000000,workstation,3,1
task1_only,1,34,10034,,89.00000000,workstation,5,1
task1_only,1,27,10027,,53.00000000,workstation,2,1
task1_only,1,8,10008,,65.00000000,workstation,13,1
task1_only,1,90,10090,,59.00000000,workstation,5,1
task1_only,1,46,10046,,33.00000000,workstation,0,1
task1_only,1,131,10131,,43.00000000,workstation,5,1
task1_only,1,128,10128,,77.00000000,workstation,2,1
task1_only,1,70,10070,,62.00000000,workstation,3,1
task1_only,1,37,10037,,29.00000000,workstation,1,1
task1_only,1,31,10031,,80.00000000,workstation,0,1
task1_only,1,113,10113,,66.00000000,workstation,15,1
task1_only,2,19,10019,,106.00000000,workstation,14,1
task1_only,2,58,10058,,35.00000000,workstation,2,1
task1_only,2,87,10087,,38.00000000,workstation,15,1
task1_only,2,96,10096,,38.00000000,workstation,14,1
task1_only,2,134,10134,,104.00000000,workstation,8,1
task1_only,2,126,10126,,40.00000000,workstation,9,1
task1_only,2,26,10026,,92.00000000,workstation,9,1
task1_only,2,136,10136,,28.00000000,workstation,14,1
task1_only,2,79,10079,,117.00000000,workstation,15,1
task1_only,2,9,10009,,29.00000000,workstation,4,1
task1_only,2,81,10081,,34.00000000,workstation,15,1
task1_only,2,25,10025,,63.00000000,workstation,0,1
task1_only,2,65,10065,,31.00000000,workstation,3,1
task1_only,2,35,10035,,76.00000000,workstation,8,1
task1_only,2,82,10082,,120.00000000,workstation,2,1
task1_only,2,85,10085,,30.00000000,workstation,13,1
task1_only,2,45,10045,,49.00000000,workstation,5,1
task1_only,2,57,10057,,35.00000000,workstation,12,1
task1_only,2,23,10023,,35.00000000,workstation,3,1
task1_only,2,104,10104,,27.00000000,workstation,14,1
task1_only,2,6,10006,,120.00000000,workstation,15,1
task1_only,2,63,10063,,53.00000000,workstation,12,1
task1_only,2,84,10084,,30.00000000,workstation,0,1
task1_only,2,6,10006,,2.00000000,workstation,15,1
task1_only,3,56,10056,,81.00000000,workstation,12,1
task1_only,3,82,10082,,67.00000000,workstation,2,1
task1_only,3,55,10055,,49.00000000,workstation,15,1
task1_only,3,71,10071,,59.00000000,workstation,12,1
task1_only,3,15,10015,,58.00000000,workstation,4,1
task1_only,3,111,10111,,72.00000000,workstation,9,1
task1_only,3,121,10121,,29.00000000,workstation,9,1
task1_only,3,116,10116,,61.00000000,workstation,1,1
task1_only,3,54,10054,,39.00000000,workstation,8,1
task1_only,3,66,10066,,28.00000000,workstation,2,1
task1_only,3,33,10033,,69.00000000,workstation,14,1
task1_only,3,14,10014,,66.00000000,workstation,0,1
task1_only,3,139,10139,,39.00000000,workstation,3,1
task1_only,3,32,10032,,37.00000000,workstation,5,1
task1_only,3,24,10024,,106.00000000,workstation,1,1
task1_only,3,47,10047,,41.00000000,workstation,13,1
task1_only,3,101,10101,,87.00000000,workstation,2,1
task1_only,3,127,10127,,79.00000000,workstation,12,1
task1_only,3,59,10059,,49.00000000,workstation,3,1
task1_only,3,95,10095,,26.00000000,workstation,12,1
task1_only,3,99,10099,,50.00000000,workstation,3,1
task1_only,3,100,10100,,51.00000000,workstation,12,1
task1_only,3,67,10067,,43.00000000,workstation,0,1
task1_only,3,117,10117,,57.00000000,workstation,15,1
task1_only,4,110,10110,,33.00000000,workstation,14,1
task1_only,4,75,10075,,33.00000000,workstation,2,1
task1_only,4,1,10001,,45.00000000,workstation,15,1
task1_only,4,16,10016,,99.00000000,workstation,12,1
task1_only,4,92,10092,,36.00000000,workstation,4,1
task1_only,4,44,10044,,55.00000000,workstation,15,1
task1_only,4,76,10076,,43.00000000,workstation,9,1
task1_only,4,68,10068,,36.00000000,workstation,3,1
task1_only,4,36,10036,,58.00000000,workstation,15,1
task1_only,4,62,10062,,49.00000000,workstation,2,1
task1_only,4,93,10093,,46.00000000,workstation,14,1
task1_only,4,43,10043,,90.00000000,workstation,0,1
task1_only,4,83,10083,,35.00000000,workstation,3,1
task1_only,4,20,10020,,36.00000000,workstation,5,1
task1_only,4,18,10018,,54.00000000,workstation,0,1
task1_only,4,132,10132,,31.00000000,workstation,13,1
task1_only,4,30,10030,,118.00000000,workstation,2,1
task1_only,4,28,10028,,55.00000000,workstation,12,1
task1_only,4,89,10089,,28.00000000,workstation,3,1
task1_only,4,7,10007,,47.00000000,workstation,12,1
task1_only,4,41,10041,,57.00000000,workstation,3,1
task1_only,4,48,10048,,120.00000000,workstation,12,1
task1_only,4,130,10130,,47.00000000,workstation,0,1
task1_only,4,10,10010,,30.00000000,workstation,15,1
task1_only,5,5,10005,,75.00000000,workstation,14,1
task1_only,5,88,10088,,38.00000000,workstation,2,1
task1_only,5,105,10105,,37.00000000,workstation,15,1
task1_only,5,102,10102,,33.00000000,workstation,12,1
task1_only,5,109,10109,,31.00000000,workstation,3,1
